symbol,name,sector,industry
A,Agilent Technologies,Health Care,Life Sciences Tools & Services
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,AbbVie,Health Care,Biotechnology
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance
ACN,Accenture,Information Technology,IT Consulting & Other Services
ADBE,Adobe Inc.,Information Technology,Application Software
ADI,Analog Devices,Information Technology,Semiconductors
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services
ADSK,Autodesk,Information Technology,Application Software
AEE,Ameren,Utilities,Multi-Utilities
AEP,American Electric Power,Utilities,Electric Utilities
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,Financials,Life & Health Insurance
AIG,American International Group,Financials,Multi-line Insurance
AIZ,Assurant,Financials,Multi-line Insurance
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure
ALB,Albemarle Corporation,Materials,Specialty Chemicals
ALGN,Align Technology,Health Care,Health Care Supplies
ALL,Allstate,Financials,Property & Casualty Insurance
ALLE,Allegion,Industrials,Building Products
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials
AMD,Advanced Micro Devices,Information Technology,Semiconductors
AME,Ametek,Industrials,Electrical Components & Equipment
AMGN,Amgen,Health Care,Biotechnology
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AMT,American Tower,Real Estate,Telecom Tower REITs
AMZN,Amazon,Consumer Discretionary,Broadline Retail
ANET,Arista Networks,Information Technology,Communications Equipment
AON,Aon plc,Financials,Insurance Brokers
AOS,A. O. Smith,Industrials,Building Products
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
APD,Air Products,Materials,Industrial Gases
APH,Amphenol,Information Technology,Electronic Components
APO,Apollo Global Management,Financials,Asset Management & Custody Banks
APP,AppLovin,Information Technology,Application Software
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ARES,Ares Management,Financials,Asset Management & Custody Banks
ATO,Atmos Energy,Utilities,Gas Utilities
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
AVGO,Broadcom,Information Technology,Semiconductors
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AWK,American Water Works,Utilities,Water Utilities
AXON,Axon Enterprise,Industrials,Aerospace & Defense
AXP,American Express,Financials,Consumer Finance
AZO,AutoZone,Consumer Discretionary,Automotive Retail
BA,Boeing,Industrials,Aerospace & Defense
BAC,Bank of America,Financials,Diversified Banks
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAX,Baxter International,Health Care,Health Care Equipment
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BDX,Becton Dickinson,Health Care,Health Care Equipment
BEN,Franklin Resources,Financials,Asset Management & Custody Banks
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners
BG,Bunge Global,Consumer Staples,Agricultural Products & Services
BIIB,Biogen,Health Care,Biotechnology
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BLDR,Builders FirstSource,Industrials,Building Products
BLK,BlackRock,Financials,Asset Management & Custody Banks
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
BNY,BNY Mellon,Financials,Asset Management & Custody Banks
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BRO,Brown & Brown,Financials,Insurance Brokers
BSX,Boston Scientific,Health Care,Health Care Equipment
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks
BXP,"BXP, Inc.",Real Estate,Office REITs
C,Citigroup,Financials,Diversified Banks
CAH,Cardinal Health,Health Care,Health Care Distributors
CARR,Carrier Global,Industrials,Building Products
CASY,Casey's,Consumer Staples,Food Retail
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CB,Chubb Limited,Financials,Property & Casualty Insurance
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,CBRE Group,Real Estate,Real Estate Services
CCI,Crown Castle,Real Estate,Telecom Tower REITs
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CDNS,Cadence Design Systems,Information Technology,Application Software
CDW,CDW Corporation,Information Technology,Technology Distributors
CEG,Constellation Energy,Utilities,Electric Utilities
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CFG,Citizens Financial Group,Financials,Regional Banks
CHD,Church & Dwight,Consumer Staples,Household Products
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics
CHTR,Charter Communications,Communication Services,Cable & Satellite
CI,Cigna,Health Care,Health Care Services
CIEN,Ciena,Information Technology,Communications Equipment
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CL,Colgate-Palmolive,Consumer Staples,Household Products
CLX,Clorox,Consumer Staples,Household Products
CMCSA,Comcast,Communication Services,Cable & Satellite
CME,CME Group,Financials,Financial Exchanges & Data
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment
CMS,CMS Energy,Utilities,Multi-Utilities
CNC,Centene Corporation,Health Care,Managed Health Care
CNP,CenterPoint Energy,Utilities,Multi-Utilities
COF,Capital One,Financials,Consumer Finance
COHR,Coherent Corp.,Information Technology,Electronic Components
COIN,Coinbase,Financials,Financial Exchanges & Data
COO,Cooper Companies (The),Health Care,Health Care Supplies
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
COR,Cencora,Health Care,Health Care Distributors
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
CPAY,Corpay,Financials,Transaction & Payment Processing Services
CPRT,Copart,Industrials,Diversified Support Services
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs
CRH,CRH plc,Materials,Construction Materials
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
CRM,Salesforce,Information Technology,Application Software
CRWD,CrowdStrike,Information Technology,Systems Software
